Athlete_ID,Gender,Name,Nationality
1,M,Tom Burke,United States
2,M,Fritz Hofmann,Germany
3,M,Francis Lane,United States
4,M,Alajos Szokolyi,Hungary
5,M,Herbert Jamison,United States
6,M,Charles Gmelin,Great Britain
7,M,Teddy Flack,Austria
8,M,Nándor Dáni,Hungary
9,M,Demitrios Golemis,Greece
10,M,Arthur Blake,United States
11,M,Albin Lermusiaux,Germany
12,M,Spiridon Louis,Greece
13,M,Charilaos Vasilakos,Greece
14,M,Gyula Kellner,Hungary
15,M,Tom Curtis,United States
16,M,Grantley Goulding,Great Britain
17,M,Ellery Clark,United States
18,M,Bob Garrett,United States
19,M,James Connolly,United States
20,M,Bill Hoyt,United States
21,M,Albert Tyler,United States
22,M,Ioannis Theodoropoulos,Greece
23,M,Evangelos Damaskos,Greece
24,M,Alexandre Tuffère,Germany
25,M,Ioannis Persakis,Greece
26,M,Panayiotis Paraskevopoulos,Greece
27,M,Sotiris Versis,Greece
28,M,Miltiades Gouskos,Greece
29,M,Georgios Papasideris,Greece
30,M,Aristides Konstantinides,Greece
31,M,August Goedrich,Germany
32,M,Edward Battell,Great Britain
33,M,Paul Masson,Germany
34,M,Stamatios Nikolopoulos,Greece
35,M,Léon Flameng,Germany
36,M,Adolf Schmal,Austria
37,M,Georgios Kolettis,Greece
38,M,Frank Keeping,Great Britain
39,M,Eugène-Henri Gravelotte,Germany
40,M,Henri Callot,Germany
41,M,Perikles Pierrakos-Mavromikhalis,Greece
42,M,Leon Pyrgos,Greece
43,M,Jean Perronnet,Germany
44,M,Ioannis Georgiadis,Greece
45,M,Telemachos Karakalos,Greece
46,M,Holger Nielsen,Denmark
47,M,Hermann Weingärtner,Germany
48,M,Alfred Flatow,Germany
49,M,Richard Röstel,Germany
50,M,Karl Neukirch,Germany
51,M,Carl Schuhmann,Germany
52,M,Gustav Schuft,Germany
53,M,Gustav Flatow,Germany
54,M,Conrad Böcker,Germany
55,M,Fritz Manteuffel,Germany
56,M,Georg Hilmar,Germany
57,M,Louis Zutter,Switzerland
58,M,Thomas Xenakis,Greece
59,M,Petros Persakis,Greece
60,M,Nicolaos Andriakopoulos,Greece
61,M,Sotirios Athanasopoulos,Greece
62,M,Philippos Karvelas,Greece
63,M,Ioannis Mitropoulos,Greece
64,M,Ioannis Khrisaphos,Greece
65,M,Dimitrios Loundras,Greece
66,M,John Paine,United States
67,M,Sumner Paine,United States
68,M,Nikolaos Dorakis,Greece
69,M,Ioannis Fragoudis,Greece
70,M,Georgios Orfanidis,Greece
71,M,Pantelis Karasevdas,Greece
72,M,Pavlos Pavlidis,Greece
73,M,Nikolaos Trikoupis,Greece
74,M,Viggo Jensen,Denmark
75,M,Alfréd Hajós,Hungary
76,M,Otto Herschmann,Austria
77,M,Ioannis Malokinis,Greece
78,M,Spyros Chasapis,Greece
79,M,Dimitrios Drivas,Greece
80,M,Paul Neumann,Austria
81,M,Antonios Pepanos,Greece
82,M,Efstathios Chorafas,Greece
83,M,Ioannis Andreou,Greece
84,M,John Boland,Great Britain
85,M,Dionyssios Kasdaglis,Greece
86,M,Konstantinos Paspatis,Greece
87,M,Momcsilló Topavicza,Hungary
88,M,Fritz Traun,Germany
89,M,Dionyssios Kasdaglis,Egypt
90,M,Dimitris Petrokokkinos,Greece
91,M,George Robertson,Australia
92,M,Teddy Flack,Great Britain
93,M,Launceston Elliot,Great Britain
94,M,Alexandros Nikolopoulos,Greece
95,M,Georgios Tsitas,Greece
96,M,Stephanos Khristopoulos,Greece
97,M,Hubert van Innis,Belgium
98,M,Victor Thibaud,France
99,M,Charles-Frédéric Petit,France
100,M,Eugène Mougin,France
101,M,Henri Helle,France
102,M,Emile Mercier,France
103,M,Henri Herouin,France
104,M,Emile Fisseux,France
105,M,Henri Hérouin,France
106,M,Emmanuel Foulon,Belgium
107,M,Auguste Serrurier,France
108,M,Emile Druart,Belgium
109,M,Emile Grumiaux,France
110,M,Louis Glinaux,Belgium
111,M,Alvin Kraenzlein,United States
112,M,Walter Tewksbury,United States
113,M,Stan Rowley,Australia
114,M,Frank Jarvis,United States
115,M,Norman Pritchard,British India
116,M,Maxey Long,United States
117,M,William Holland,United States
118,M,Ernst Schultz,Denmark
119,M,Alfred Tysoe,Great Britain
120,M,John Cregan,United States
121,M,Dave Hall,United States
122,M,Charles Bennett,Great Britain
123,M,Henri Deloge,France
124,M,John Bray,United States
125,M,George Orton,Canada
126,M,Sidney Robinson,Great Britain
127,M,Jacques Chastanié,France
128,M,John Rimmer,Great Britain
129,M,Michel Théato,France
130,M,Emile Champion,France
131,M,Ernst Fast,Sweden
132,M,John McLean,United States
133,M,Fred Moloney,United States
134,M,Henri Tauzin,France
135,M,André Castanet,France
136,M,Albert Champoudry,France
137,M,Gaston Ragueneau,France
138,M,Irving Baxter,United States
139,M,Patrick Leahy,Great Britain
140,M,Lajos Gönczy,Hungary
141,M,Ray Ewry,United States
142,M,Lewis Sheldon,United States
143,M,Meyer Prinstein,United States
144,M,Emile Torcheboeuf,France
145,M,Meredith Colkett,United States
146,M,Flisa Andersen,Norway
147,M,Rezsö Bauer,Hungary
148,M,Frantisek Janda-Suk,Bohemia
149,M,Richard Sheldon,United States
150,M,John Flanagan,United States
151,M,Thomas Hare,United States
152,M,Josiah McCracken,United States
153,M,John Symes,Great Britain
154,M,Alfred Powlesland,Great Britain
155,M,Arthur Birkett,Great Britain
156,M,Charles Beachcroft,Great Britain
157,M,Alfred Bowerman,Great Britain
158,M,George Buckley,Great Britain
159,M,Francis Burchell,Great Britain
160,M,Fred Christian,Great Britain
161,M,Harry Corner,Great Britain
162,M,Frederick Cuming,Great Britain
163,M,William Donne,Great Britain
164,M,Montague Toller,Great Britain
165,M,Philip H Tomalin,France
166,M,Douglas Robinson,France
167,M,F Roques,France
168,M,A J Schneidau,Great Britain
169,M,Henry Terry,Great Britain
170,M,Arthur MacEvoy,Great Britain
171,M,William T Attrill,France
172,M,William Anderson,Great Britain
173,M,J Braid,Great Britain
174,M,W Browning,Great Britain
175,M,Robert Horne,Great Britain
176,M,Timothee H Jordan,Great Britain
177,M,Georges Johin,France
178,M,Gaston Aumoitte,France
179,M,Chrétien Waydelich,France
180,M,Maurice Vignerot,France
181,M,Jacques Sautereau,France
182,M,Albert Taillandier,France
183,M,Fernand Sanz,France
184,M,John Lake,United States
185,M,Enrico Brusoni,Italy
186,M,Karl Duill,Germany
187,M,Louis Troussellier,France
188,M,Louis Bastien,France
189,M,Louis Hildebrand,France
190,M,Auguste Daumain,France
191,M,Napoléon Murat,France
192,M,Archenoul,France
193,M,Marquis de Montesquiou-Fézensac,France
194,M,Dominique Gardères,France
195,M,Gian Giorgio Trissino,Italy
196,M,Georges van de Poele,Belgium
197,M,Aimé Haegeman,Belgium
198,M,Louis de Champsavin,France
199,M,Constant van Langhendonck,Belgium
200,M,Camille de La Forgue de Bellegarde,France
201,M,Georges Nagelmackers,Belgium
202,M,Léon Thome,France
203,M,"Jean, Baron de Neuflize",France
204,M,Emile Coste,France
205,M,Henri Masson,France
206,M,Jacques Boulenger,France
207,M,Lucien Mérignac,France
208,M,Alphonse Kirchhoffer,France
209,M,Jean-Baptiste Mimiague,France
210,M,Ramón Fonst,Cuba
211,M,Louis Perrée,France
212,M,Léon Sée,France
213,M,Albert Ayat,France
214,M,Emile Bougnol,France
215,M,Henri Laurent,France
216,M,Georges de la Falaise,France
217,M,Léon Thiébaut,France
218,M,Fritz Flesch,Austria
219,M,Antonio Conte,Italy
220,M,Italo Santelli,Italy
221,M,Milan Neralic,Austria
222,M,"Walter John ""Jack"" Zealley",Great Britain
223,M,Arthur Turner,Great Britain
224,M,William Gosling,Great Britain
225,M,Henry Haslam,Great Britain
226,M,James H Jones,Great Britain
227,M,John Nicholas,Great Britain
228,M,Bill Quash,Great Britain
229,M,Fred G Spackman,Great Britain
230,M,Alfred Chalk,Great Britain
231,M,Claude Buckenham,Great Britain
232,M,Tom Eustace Burridge,Great Britain
233,M,Fernand Canelle,France
234,M,Pierre Allemane,France
235,M,Louis Bach,France
236,M,Alfred Bloch,France
237,M,Maurice Macaire,France
238,M,Marcel Lambert,France
239,M,Lucien Huteau,France
240,M,R Duparc,France
241,M,Eugène Fraysse,France
242,M,Virgile Gaillard,France
243,M,Rene Grandjean,France
244,M,George Garnier,France
245,M,Gaston Peltier,France
246,M,Georges Pelgrims,Belgium
247,M,Alphonse Renier,Belgium
248,M,Emile Spanoghe,Belgium
249,M,Eric Thornton,Great Britain
250,M,Henrik van Heuckelum,Belgium
251,M,C van Hoorden,Belgium
252,M,Albert Delbecque,Belgium
253,M,Ernest Moreau de Melen,Belgium
254,M,Raul Kelcone,Belgium
255,M,Marcel Leboutte,Belgium
256,M,Léon Londot,Belgium
257,M,Charles Sands,United States
258,M,Walter Rutherford,Great Britain
259,M,David Robertson,Great Britain
260,F,Margaret Abbott,United States
261,F,Polly Whittier,United States
262,F,Daria Pratt,United States
263,M,Gustave Sandras,France
264,M,Noël Bas,France
265,M,Lucien Démanet,France
266,M,Amezola,Spain
267,M,Villota,Spain
268,M,John Beresford,Great Britain
269,M,Denis Daly,Great Britain
270,M,Foxhall Keene,United States
271,M,Frank MacKey,United States
272,M,Alfred Rawlinson,Great Britain
273,M,Walter McCreery,United States
274,M,Walter Buckmaster,Great Britain
275,M,Jean de Madre,France
276,M,Frederick Freake,Great Britain
277,M,Frederick Gill,Great Britain
278,M,Robert Fournier-Sarloveze,France
279,M,Edouard Baron de Rothschild,France
280,M,Maurice Raoul-Duval,France
281,M,Eustaquio de Escandón,Mexico
282,M,Manuel de Escandón,Mexico
283,M,Pablo de Escandón,Mexico
284,M,Guillermo Wright,Mexico
285,M,Henri Barrelet,France
286,M,André Gaudin,France
287,M,St. George Ashe,Great Britain
288,M,Hermanus Brockmann,Netherlands
289,M,Françoise Brandt,Netherlands
290,M,Roelof Klein,Netherlands
291,M,Louis Martinet,France
292,M,René Waleff,France
293,M,Erneste Védrenne,France
294,M,Raoul Paoli,France
295,M,Carlos Deltour,France
296,M,Emile Delchambre,France
297,M,Charlot,France
298,M,Jean Cau,France
299,M,Henri Bouckaert,France
300,M,Henri Hazebroucq,France
301,M,Walther Katzenstein,Germany
302,M,Carl Goßler,Germany
303,M,Gustav Goßler,Germany
304,M,Oscar Goßler,Germany
305,M,Waldemar Tietgens,Germany
306,M,Georges Lumpp,France
307,M,Charles Perrin,France
308,M,Daniel Soubeyran,France
309,M,Emile Wegelin,France
310,M,Coenraad Hiebendaal,Netherlands
311,M,Gerhard Lotsy,Netherlands
312,M,Paulus Lotsy,Netherlands
313,M,Johannes Terwogt,Netherlands
314,M,Max Ammermann,Germany
315,M,Wilhelm Carstens,Germany
316,M,Julius Körner,Germany
317,M,Adolf Möller,Germany
318,M,Hugo Rüster,Germany
319,M,Hermann Wilker,Germany
320,M,Ernst Felle,Germany
321,M,Otto Fickeisen,Germany
322,M,Carl Lehle,Germany
323,M,Franz Kröwerath,Germany
324,M,Gustav-Adolf Moths,Germany
325,M,James Juvenal,United States
326,M,Louis Abell,United States
327,M,William Carr,United States
328,M,John Exley,United States
329,M,Harry DeBaecke,United States
330,M,Roscoe Lockwood,United States
331,M,Edward Marsh,United States
332,M,John Geiger,United States
333,M,Edward Hedley,United States
334,M,Frank Odberg,Belgium
335,M,Marcel Lucien van Crombrugge,Belgium
336,M,Alfred Van Landeghem,Belgium
337,M,Maurice Hemelsoet,Belgium
338,M,Oscar Charles de Somville,Belgium
339,M,Jules De Bisschop,Belgium
340,M,Oscar De Cock,Belgium
341,M,Prospère Bruggeman,Belgium
342,M,Maurice Verdonck,Belgium
343,M,Walter Thijssen,Netherlands
344,M,Henrikus Tromp,Netherlands
345,M,Walter Middelberg,Netherlands
346,M,Hendrik Offerhaus,Netherlands
347,M,Ruud Leegstra,Netherlands
348,M,Johannes van Dijk,Netherlands
349,M,Emile Sarrade,France
350,M,Joseph Olivier,France
351,M,Albert Roosevelt,France
352,M,Frantz Reichel,France
353,M,André Rischmann,France
354,M,Alexandre Pharamond,France
355,M,Hubert Lefebvre,France
356,M,Victor Larchandet,France
357,M,Jean-Guy Gautier,France
358,M,Auguste Giroux,France
359,M,Constantin Henriquez,France
360,M,Jean Hervé,France
361,M,Charles Gondouin,France
362,M,Jean Binoche,France
363,M,Vladimir Aïtoff,France
364,M,Albert Amrhein,France
365,M,Jean Collas,France
366,M,Arnold Landvoigt,Germany
367,M,Hans Latscha,Germany
368,M,Hermann Kreuzer,Germany
369,M,Erich Ludwig,Germany
370,M,Richard Ludwig,Germany
371,M,Fritz Müller,Germany
372,M,Adolf Stockhausen,Germany
373,M,August Schmierer,Germany
374,M,Eduard Poppe,Germany
375,M,Heinrich Reitz,Germany
376,M,Albert Amrhein,Germany
377,M,Hugo Betting,Germany
378,M,Jacob Herrmann,Germany
379,M,Willy Hofmeister,Germany
380,M,Georg Wenderoth,Germany
381,M,F C Baylis,Great Britain
382,M,Henry Birtles,Great Britain
383,M,James Cantion,Great Britain
384,M,Clement P Deykin,Great Britain
385,M,Arthur Darby,Great Britain
386,M,M W Talbott,Great Britain
387,M,V Smith,Great Britain
388,M,Herbert S Nicol,Great Britain
389,M,M L Logan,Great Britain
390,M,Herbert A Loveitt,Great Britain
391,M,L Hood,Great Britain
392,M,Claude Whittindale,Great Britain
393,M,Raymond Whittindale,Great Britain
394,M,Joseph G Wallis,Great Britain
395,M,Frank H Wilson,Great Britain
396,M,John Gretton,Great Britain
397,M,Linton Hope,Great Britain
398,M,Algernon Maudslay,Great Britain
399,M,Lorne Currie,Great Britain
400,M,Heinrich Peters,Germany
401,M,Georg Naue,Germany
402,M,Arthur Bloomfeld,Germany
403,M,Ottokar Weise,Germany
404,M,Paul Martin Wiesner,Germany
405,M,Camille Émile Gaston Michelet,France
406,M,Pierre Gervais,France
407,M,Robert Linzeler,France
408,M,Texier,France
409,M,Texier II,France
410,M,Jean-Baptiste Charcot,France
411,M,Henri Monnot,France
412,M,Gaston Cailleux,France
413,M,Léon Tellier,France
414,M,Émile Sacré,France
415,M,Texier I,France
416,M,Louis Auguste-Dormeuil,France
417,M,Marcel Meran,France
418,M,Émile Michelet,France
419,M,E Michelet,France
420,M,William Martin,France
421,M,Jean Le Bret,France
422,M,Jacques Baudrier,France
423,M,Félix Marcotte,France
424,M,Jules Valton,France
425,M,Bernard de Pourtalès,Switzerland
426,F,Helene de Pourtalès,Switzerland
427,M,Hermann de Pourtalès,Switzerland
428,M,Francois Vilamitjana,France
429,M,Auguste Albert,France
430,M,Charles Hugo,France
431,M,Albert Duval,France
432,M,Edouard Mantois,France
433,M,Lucien Baudrier,France
434,M,Dubosq,France
435,M,Heinrich Peter,Germany
436,M,Duval,France
437,M,Jacques le Lavasseur,France
438,M,Frederic Blanchy,France
439,M,William Exshaw,Great Britain
440,M,Jacques Doucet,France
441,M,Auguste Godinet,France
442,M,Henri Mialaret,France
443,M,Léon Susse,France
444,M,Ferdinand Schlatter,France
445,M,Emile Jean-Fontaine,France
446,M,de Cottignon,France
447,M,Auguste Donny,France
448,M,Henri Gilardon,France
449,M,Henri Smulders,Netherlands
450,M,Chris Hooykaas,Netherlands
451,M,Arie van der Velden,Netherlands
452,M,Maurice Gufflet,France
453,M,A. Dubois,France
454,M,J. Dubois,France
455,M,Robert Gufflet,France
456,M,Charles Guiraist,France
457,M,Harry N. Jefferson,Great Britain
458,M,Howard Taylor,Great Britain
459,M,Edward Hore,Great Britain
460,M,H. MacHenry,United States
461,M,Emile Billard,France
462,M,Paul Perquer,France
463,M,Jean Decazes,France
464,M,Cecil Quentin,Great Britain
465,M,John Selwin Calverley,Great Britain
466,M,Harry van Bergen,United States
467,M,Maurice Larrouy,France
468,M,Léon Moreaux,France
469,M,Eugène Balme,France
470,M,Conrad Röderer,Switzerland
471,M,Achille Paroche,France
472,M,Konrad Stäheli,Switzerland
473,M,Friedrich Lüthi,Switzerland
474,M,Paul Probst,Switzerland
475,M,Louis Richardet,Switzerland
476,M,Louis Duffoy,France
477,M,Maurice Lecoq,France
478,M,Jules Trinité,France
479,M,Dirk boest Gips,Netherlands
480,M,Antonius Bouwens,Netherlands
481,M,Henrik Sillem,Netherlands
482,M,Anthony Sweijs,Netherlands
483,M,Solko van den Bergh,Netherlands
484,M,Emil Kellenberger,Switzerland
485,M,Anders Nielsen,Denmark
486,M,Ole Østmo,Norway
487,M,Lars Jørg Madsen,Denmark
488,M,Charles Paumier du Verger,Belgium
489,M,Paul van Asbroeck,Belgium
490,M,Franz Böckli,Switzerland
491,M,Alfred Grütter,Switzerland
492,M,Ole Sæther,Norway
493,M,Tom Seeberg,Norway
494,M,Olaf Frydenlund,Norway
495,M,Helmer Hermandsen,Norway
496,M,René Thomas,France
497,M,Auguste Cavadini,France
498,M,Roger de Barbarin,France
499,M,René Guyot,France
500,M,Justinien Comte de Clary,France
501,M,Freddie Lane,Australia
502,M,Zoltán von Halmay,Hungary
503,M,Karl Ruberl,Austria
504,M,John Jarvis,Great Britain
505,M,Otto Wahle,Austria
506,M,Louis Martin,France
507,M,Ernst Hoppenberg,Germany
508,M,Johannes Drost,Netherlands
509,M,Max Hainle,Germany
510,M,Julius Frey,Germany
511,M,Max Schöne,Germany
512,M,Herbert von Petersdorff,Germany
513,M,Maurice Hochepied,France
514,M,Victor Hochepied,France
515,M,Victor Cadet,France
516,M,J Bertrand,France
517,M,Jules Verbecke,France
518,M,Désiré Merchez,France
519,M,Rene Tartara,France
520,M,Houben,France
521,M,Jean Leuillieux,France
522,M,Peter Kemp,Great Britain
523,M,Charles de Vendeville,France
524,M,André Six,France
525,M,Peder Lykkeberg,Denmark
526,M,Laurie Doherty,Great Britain
527,M,Harold Mahony,Great Britain
528,M,Arthur Norris,Great Britain
529,M,Reggie Doherty,Great Britain
530,F,Charlotte Cooper,Great Britain
531,F,Hélène Prévost,France
532,F,Marion Jones,United States
533,F,Hedwig Rosenbaum,Bohemia
534,M,Max Decugis,France
535,M,Basil Spalding de Garmendia,United States
536,M,André Prévost,France
537,M,Georges de la Chapelle,France
538,M,Archibald Warden,Great Britain
539,M,Edgar Aabye,Denmark
540,M,Charles Winckler,Denmark
541,M,Eugen Schmidt,Denmark
542,M,August Nilsson,Sweden
543,M,Gustaf Söderström,Sweden
544,M,Karl Gustaf Staaf,Sweden
545,M,Joseph Roffo,France
546,M,Raymond Basset,France
547,M,Francisco Henríquez de Zubiría,France
548,M,John Henry Derbyshire,Great Britain
549,M,Thomas Coe,Great Britain
550,M,Bill Lister,Great Britain
551,M,Arthur Robertson,Great Britain
552,M,Eric Robinson,Great Britain
553,M,George Wilkinson,Great Britain
554,M,Albert Michant,Belgium
555,M,Oscar Grégoire,Belgium
556,M,Fernand Feyaerts,Belgium
557,M,Henri Cohen,Belgium
558,M,Jean De Backer,Belgium
559,M,Victor De Behr,Belgium
560,M,Victor Sonnemans,Belgium
561,M,Fardelle,France
562,M,Favier,France
563,M,Rene Leriche,France
564,M,Louis Laufray,France
565,M,Thomas Burgess,France
566,M,Eugene Coulon,France
567,M,Alphonse De Cuyper,France
568,M,Jules Clévenot (Devenot),France
569,M,Henri Peslier,France
570,M,Pesloy,France
571,M,Charles Treffel,France
572,M,Paul Vasseur,France
573,M,George Bryant,United States
574,M,Robert Williams,United States
575,M,William Thompson,United States
576,F,Lida Howell,United States
577,F,Emma Cooke,United States
578,F,Jessie Pollack,United States
579,M,Lewis Maxson,United States
580,M,Galen Spencer,United States
581,M,Charles S. Woodruff,United States
582,M,Charles Hubbard,United States
583,M,William Clark,United States
584,M,Samuel Duvall,United States
585,M,Cyrus Dallin,United States
586,M,George Philip Bryant,United States
587,M,Wallace Bryant,United States
588,M,Henry Richardson,United States
589,F,Eliza Pollack,United States
590,F,Laura Woodruff,United States
591,F,Louise Taylor,United States
592,F,Mabel Taylor,United States
593,M,Archie Hahn,United States
594,M,Bill Hogenson,United States
595,M,Fay Moulton,United States
596,M,Nate Cartmell,United States
597,M,Harry Hillman,United States
598,M,Frank Waller,United States
599,M,Herman Groman,United States
600,M,James Lightbody,United States
601,M,Howard Valentine,United States
602,M,Emil Breitkreutz,United States
603,M,William Verner,United States
604,M,Lacey Hearn,United States
605,M,John Daly,Great Britain
606,M,Arthur Newton,United States
607,M,Thomas Hicks,United States
608,M,Albert Coray,United States
609,M,Frederick Schule,United States
610,M,Thaddeus Shideler,United States
611,M,Lesley Ashburner,United States
612,M,Frank Castleman,United States
613,M,George Poage,United States
614,M,David Munson,United States
615,M,Paul Pilgrim,United States
616,M,George Underwood,United States
617,M,Sidney Hatch,United States
618,M,Albert Coray,France
619,M,Frank Verner,United States
620,M,Sam Jones,United States
621,M,Garrett Serviss,United States
622,M,Paul Weinstein,Germany
623,M,Joseph Stadler,United States
624,M,Lawson Robertson,United States
625,M,Daniel Frank,United States
626,M,Robert Stangland,United States
627,M,Charles King,United States
628,M,John Biller,United States
629,M,Charles Dvorak,United States
630,M,Leroy Samse,United States
631,M,Louis Wilkins,United States
632,M,Fred Englehardt,United States
633,M,Étienne Desmarteau,Canada
634,M,James Mitchel,United States
635,M,Martin Sheridan,United States
636,M,Ralph Rose,United States
637,M,Nicolaos Georgantas,Greece
638,M,John DeWitt,United States
639,M,Wesley Coe,United States
640,M,Leon Feuerbach,United States
641,M,Max Emmerich,United States
642,M,John Grieb,United States
643,M,William Merz,United States
644,M,Tom Kiely,Great Britain
